,DATA,REGIÃO,ESTADO,VALOR REVENDA,ANO,MES,MES/ANO
283,2004-07-18,NORTE,ACRE,2.5380000000000003,2004,7,07/2004
284,2004-07-18,NORTE,AMAPA,2.4,2004,7,07/2004
285,2004-07-18,NORTE,AMAZONAS,2.196,2004,7,07/2004
286,2004-07-18,NORTE,PARA,2.42,2004,7,07/2004
287,2004-07-18,NORTE,RONDONIA,2.46,2004,7,07/2004
288,2004-07-18,NORTE,RORAIMA,2.076,2004,7,07/2004
289,2004-07-18,NORTE,TOCANTINS,2.22,2004,7,07/2004
290,2004-07-18,SUDESTE,ESPIRITO SANTO,2.133,2004,7,07/2004
291,2004-07-18,SUDESTE,MINAS GERAIS,2.102,2004,7,07/2004
292,2004-07-18,SUDESTE,RIO DE JANEIRO,2.154,2004,7,07/2004
293,2004-07-18,SUDESTE,SAO PAULO,2.03,2004,7,07/2004
294,2004-07-18,SUL,PARANA,2.091,2004,7,07/2004
295,2004-07-18,SUL,RIO GRANDE DO SUL,2.277,2004,7,07/2004
296,2004-07-18,SUL,SANTA CATARINA,2.186,2004,7,07/2004
297,2004-07-25,CENTRO OESTE,DISTRITO FEDERAL,2.116,2004,7,07/2004
298,2004-07-25,CENTRO OESTE,GOIAS,2.109,2004,7,07/2004
299,2004-07-25,CENTRO OESTE,MATO GROSSO,2.518,2004,7,07/2004
300,2004-07-25,CENTRO OESTE,MATO GROSSO DO SUL,2.267,2004,7,07/2004
301,2004-07-25,NORDESTE,ALAGOAS,2.206,2004,7,07/2004
302,2004-07-25,NORDESTE,BAHIA,2.212,2004,7,07/2004
303,2004-07-25,NORDESTE,CEARA,2.244,2004,7,07/2004
304,2004-07-25,NORDESTE,MARANHAO,2.1830000000000003,2004,7,07/2004
305,2004-07-25,NORDESTE,PARAIBA,2.067,2004,7,07/2004
306,2004-07-25,NORDESTE,PERNAMBUCO,2.079,2004,7,07/2004
307,2004-07-25,NORDESTE,PIAUI,2.2030000000000003,2004,7,07/2004
308,2004-07-25,NORDESTE,RIO GRANDE DO NORTE,2.099,2004,7,07/2004
309,2004-07-25,NORDESTE,SERGIPE,2.103,2004,7,07/2004
310,2004-07-25,NORTE,ACRE,2.545,2004,7,07/2004
311,2004-07-25,NORTE,AMAPA,2.401,2004,7,07/2004
312,2004-07-25,NORTE,AMAZONAS,2.196,2004,7,07/2004
313,2004-07-25,NORTE,PARA,2.417,2004,7,07/2004
314,2004-07-25,NORTE,RONDONIA,2.458,2004,7,07/2004
315,2004-07-25,NORTE,RORAIMA,2.111,2004,7,07/2004
316,2004-07-25,NORTE,TOCANTINS,2.222,2004,7,07/2004
317,2004-07-25,SUDESTE,ESPIRITO SANTO,2.129,2004,7,07/2004
318,2004-07-25,SUDESTE,MINAS GERAIS,2.102,2004,7,07/2004
319,2004-07-25,SUDESTE,RIO DE JANEIRO,2.157,2004,7,07/2004
320,2004-07-25,SUDESTE,SAO PAULO,2.028,2004,7,07/2004
321,2004-07-25,SUL,PARANA,2.11,2004,7,07/2004
322,2004-07-25,SUL,RIO GRANDE DO SUL,2.275,2004,7,07/2004
323,2004-07-25,SUL,SANTA CATARINA,2.185,2004,7,07/2004
324,2004-08-01,CENTRO OESTE,DISTRITO FEDERAL,2.135,2004,8,08/2004
325,2004-08-01,CENTRO OESTE,GOIAS,2.12,2004,8,08/2004
326,2004-08-01,CENTRO OESTE,MATO GROSSO,2.52,2004,8,08/2004
327,2004-08-01,CENTRO OESTE,MATO GROSSO DO SUL,2.289,2004,8,08/2004
328,2004-08-01,NORDESTE,ALAGOAS,2.217,2004,8,08/2004
329,2004-08-01,NORDESTE,BAHIA,2.21,2004,8,08/2004
330,2004-08-01,NORDESTE,CEARA,2.287,2004,8,08/2004
331,2004-08-01,NORDESTE,MARANHAO,2.18,2004,8,08/2004
